"filename", "language", "PHP", "JSON", "Markdown", "XML", "HTML", "JavaScript", "PostCSS", "comment", "blank", "total"
"d:\wamp\www\Supply\database\seeders\UpdateProductPricesAndRatings.php", "PHP", 38, 0, 0, 0, 0, 0, 0, 0, 5, 43
"d:\wamp\www\Supply\database\seeders\UserSeeder.php", "PHP", 39, 0, 0, 0, 0, 0, 0, 6, 7, 52
"d:\wamp\www\Supply\lang\fr\auth.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\wamp\www\Supply\lang\fr\passwords.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\wamp\www\Supply\lang\fr\validation.php", "PHP", 125, 0, 0, 0, 0, 0, 0, 20, 6, 151
"d:\wamp\www\Supply\package-lock.json", "JSON", 0, 4450, 0, 0, 0, 0, 0, 0, 1, 4451
"d:\wamp\www\Supply\package.json", "JSON", 0, 32, 0, 0, 0, 0, 0, 0, 1, 33
"d:\wamp\www\Supply\phpunit.xml", "XML", 0, 0, 0, 35, 0, 0, 0, 0, 1, 36
"d:\wamp\www\Supply\postcss.config.js", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"d:\wamp\www\Supply\public\index.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 4, 7, 21
"d:\wamp\www\Supply\public\test-images.html", "HTML", 0, 0, 0, 0, 52, 0, 0, 0, 6, 58
"d:\wamp\www\Supply\resources\css\app.css", "PostCSS", 0, 0, 0, 0, 0, 0, 209, 16, 52, 277
"d:\wamp\www\Supply\resources\css\modals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 6, 1, 3, 10
"d:\wamp\www\Supply\resources\js\app.js", "JavaScript", 0, 0, 0, 0, 0, 11, 0, 1, 5, 17
"d:\wamp\www\Supply\resources\js\bootstrap.js", "JavaScript", 0, 0, 0, 0, 0, 3, 0, 0, 2, 5
"d:\wamp\www\Supply\resources\js\currency-converter.js", "JavaScript", 0, 0, 0, 0, 0, 88, 0, 7, 16, 111
"d:\wamp\www\Supply\resources\js\socketio.js", "JavaScript", 0, 0, 0, 0, 0, 128, 0, 4, 29, 161
"d:\wamp\www\Supply\resources\js\sweetalert.js", "JavaScript", 0, 0, 0, 0, 0, 98, 0, 8, 9, 115
"d:\wamp\www\Supply\resources\svg\icons\README.md", "Markdown", 0, 0, 172, 0, 0, 0, 0, 3, 31, 206
"d:\wamp\www\Supply\resources\views\accueil.blade.php", "PHP", 128, 0, 0, 0, 0, 0, 0, 0, 15, 143
"d:\wamp\www\Supply\resources\views\admin\audit\index.blade.php", "PHP", 430, 0, 0, 0, 0, 0, 0, 0, 19, 449
"d:\wamp\www\Supply\resources\views\admin\audit\show.blade.php", "PHP", 266, 0, 0, 0, 0, 0, 0, 0, 16, 282
"d:\wamp\www\Supply\resources\views\admin\audit\stats.blade.php", "PHP", 430, 0, 0, 0, 0, 0, 0, 2, 24, 456
"d:\wamp\www\Supply\resources\views\admin\audit\user.blade.php", "PHP", 121, 0, 0, 0, 0, 0, 0, 0, 5, 126
"d:\wamp\www\Supply\resources\views\admin\categories\create.blade.php", "PHP", 58, 0, 0, 0, 0, 0, 0, 0, 8, 66
"d:\wamp\www\Supply\resources\views\admin\categories\edit.blade.php", "PHP", 98, 0, 0, 0, 0, 0, 0, 0, 10, 108
"d:\wamp\www\Supply\resources\views\admin\categories\index.blade.php", "PHP", 129, 0, 0, 0, 0, 0, 0, 0, 8, 137
"d:\wamp\www\Supply\resources\views\admin\categories\show.blade.php", "PHP", 135, 0, 0, 0, 0, 0, 0, 0, 7, 142
"d:\wamp\www\Supply\resources\views\admin\configuration\delivery-zones.blade.php", "PHP", 134, 0, 0, 0, 0, 0, 0, 0, 11, 145
"d:\wamp\www\Supply\resources\views\admin\configuration\index.blade.php", "PHP", 72, 0, 0, 0, 0, 0, 0, 0, 13, 85
"d:\wamp\www\Supply\resources\views\admin\dashboard-new.blade.php", "PHP", 312, 0, 0, 0, 0, 0, 0, 0, 21, 333
"d:\wamp\www\Supply\resources\views\admin\dashboard.blade.php", "PHP", 694, 0, 0, 0, 0, 0, 0, 5, 39, 738
"d:\wamp\www\Supply\resources\views\admin\disputes\index.blade.php", "PHP", 141, 0, 0, 0, 0, 0, 0, 0, 12, 153
"d:\wamp\www\Supply\resources\views\admin\disputes\show.blade.php", "PHP", 167, 0, 0, 0, 0, 0, 0, 0, 18, 185
"d:\wamp\www\Supply\resources\views\admin\orders\delivery-overview.blade.php", "PHP", 110, 0, 0, 0, 0, 0, 0, 0, 12, 122
"d:\wamp\www\Supply\resources\views\admin\orders\index.blade.php", "PHP", 152, 0, 0, 0, 0, 0, 0, 0, 10, 162
"d:\wamp\www\Supply\resources\views\admin\orders\show.blade.php", "PHP", 202, 0, 0, 0, 0, 0, 0, 0, 21, 223
"d:\wamp\www\Supply\resources\views\admin\orders\tracking.blade.php", "PHP", 194, 0, 0, 0, 0, 0, 0, 0, 19, 213
"d:\wamp\www\Supply\resources\views\admin\products\index.blade.php", "PHP", 148, 0, 0, 0, 0, 0, 0, 0, 10, 158
"d:\wamp\www\Supply\resources\views\admin\products\show.blade.php", "PHP", 171, 0, 0, 0, 0, 0, 0, 0, 18, 189
"d:\wamp\www\Supply\resources\views\admin\products\stock-history.blade.php", "PHP", 124, 0, 0, 0, 0, 0, 0, 0, 10, 134
"d:\wamp\www\Supply\resources\views\admin\reports\financial.blade.php", "PHP", 148, 0, 0, 0, 0, 0, 0, 0, 12, 160
"d:\wamp\www\Supply\resources\views\admin\reports\product-popularity.blade.php", "PHP", 104, 0, 0, 0, 0, 0, 0, 0, 6, 110
"d:\wamp\www\Supply\resources\views\admin\reports\stock-audit.blade.php", "PHP", 151, 0, 0, 0, 0, 0, 0, 0, 11, 162
"d:\wamp\www\Supply\resources\views\admin\reports\user-activity.blade.php", "PHP", 105, 0, 0, 0, 0, 0, 0, 0, 10, 115
"d:\wamp\www\Supply\resources\views\admin\reports\vendor-performance.blade.php", "PHP", 95, 0, 0, 0, 0, 0, 0, 0, 5, 100
"d:\wamp\www\Supply\resources\views\admin\users\documents.blade.php", "PHP", 161, 0, 0, 0, 0, 0, 0, 0, 10, 171
"d:\wamp\www\Supply\resources\views\admin\users\index.blade.php", "PHP", 484, 0, 0, 0, 0, 0, 0, 2, 59, 545
"d:\wamp\www\Supply\resources\views\admin\users\show.blade.php", "PHP", 308, 0, 0, 0, 0, 0, 0, 0, 15, 323
"d:\wamp\www\Supply\resources\views\admin\vendors\approved.blade.php", "PHP", 76, 0, 0, 0, 0, 0, 0, 0, 6, 82
"d:\wamp\www\Supply\resources\views\admin\vendors\index.blade.php", "PHP", 170, 0, 0, 0, 0, 0, 0, 0, 10, 180
"d:\wamp\www\Supply\resources\views\admin\vendors\pending.blade.php", "PHP", 75, 0, 0, 0, 0, 0, 0, 0, 5, 80
"d:\wamp\www\Supply\resources\views\admin\vendors\show.blade.php", "PHP", 368, 0, 0, 0, 0, 0, 0, 0, 18, 386
"d:\wamp\www\Supply\resources\views\auth\confirm-password.blade.php", "PHP", 36, 0, 0, 0, 0, 0, 0, 0, 4, 40
"d:\wamp\www\Supply\resources\views\auth\forgot-password.blade.php", "PHP", 74, 0, 0, 0, 0, 0, 0, 0, 9, 83
"d:\wamp\www\Supply\resources\views\auth\login.blade.php", "PHP", 268, 0, 0, 0, 0, 0, 0, 3, 26, 297
"d:\wamp\www\Supply\resources\views\auth\logout-confirm.blade.php", "PHP", 33, 0, 0, 0, 0, 0, 0, 0, 5, 38
"d:\wamp\www\Supply\resources\views\auth\register.blade.php", "PHP", 505, 0, 0, 0, 0, 0, 0, 12, 39, 556
"d:\wamp\www\Supply\resources\views\auth\reset-password.blade.php", "PHP", 90, 0, 0, 0, 0, 0, 0, 0, 10, 100
"d:\wamp\www\Supply\resources\views\auth\vendor-pending.blade.php", "PHP", 83, 0, 0, 0, 0, 0, 0, 0, 10, 93
"d:\wamp\www\Supply\resources\views\auth\verify-email-code.blade.php", "PHP", 178, 0, 0, 0, 0, 0, 0, 5, 17, 200
"d:\wamp\www\Supply\resources\views\auth\verify-email.blade.php", "PHP", 37, 0, 0, 0, 0, 0, 0, 0, 6, 43
"d:\wamp\www\Supply\resources\views\client\commande-detail.blade.php", "PHP", 262, 0, 0, 0, 0, 0, 0, 0, 22, 284
"d:\wamp\www\Supply\resources\views\client\commandes.blade.php", "PHP", 82, 0, 0, 0, 0, 0, 0, 0, 4, 86
"d:\wamp\www\Supply\resources\views\client\dashboard.blade.php", "PHP", 229, 0, 0, 0, 0, 0, 0, 1, 13, 243
"d:\wamp\www\Supply\resources\views\client\profil.blade.php", "PHP", 395, 0, 0, 0, 0, 0, 0, 14, 57, 466
"d:\wamp\www\Supply\resources\views\commandes\create.blade.php", "PHP", 836, 0, 0, 0, 0, 0, 0, 65, 120, 1021
"d:\wamp\www\Supply\resources\views\commandes\facture-pdf.blade.php", "PHP", 356, 0, 0, 0, 0, 0, 0, 0, 8, 364
"d:\wamp\www\Supply\resources\views\commandes\index.blade.php", "PHP", 74, 0, 0, 0, 0, 0, 0, 0, 8, 82
"d:\wamp\www\Supply\resources\views\commandes\show.blade.php", "PHP", 158, 0, 0, 0, 0, 0, 0, 0, 12, 170
"d:\wamp\www\Supply\resources\views\components\auth-session-status.blade.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\wamp\www\Supply\resources\views\components\carte-produit.blade.php", "PHP", 128, 0, 0, 0, 0, 0, 0, 4, 14, 146
"d:\wamp\www\Supply\resources\views\components\confirmation-modal.blade.php", "PHP", 99, 0, 0, 0, 0, 0, 0, 24, 17, 140
"d:\wamp\www\Supply\resources\views\components\dropdown-link.blade.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\wamp\www\Supply\resources\views\components\icon.blade.php", "PHP", 55, 0, 0, 0, 0, 0, 0, 8, 11, 74
"d:\wamp\www\Supply\resources\views\components\input-error.blade.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\wamp\www\Supply\resources\views\components\input-label.blade.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\wamp\www\Supply\resources\views\components\live-search.blade.php", "PHP", 144, 0, 0, 0, 0, 0, 0, 3, 15, 162
"d:\wamp\www\Supply\resources\views\components\security-logs.blade.php", "PHP", 124, 0, 0, 0, 0, 0, 0, 1, 6, 131
"d:\wamp\www\Supply\resources\views\components\skeleton-loaders.blade.php", "PHP", 93, 0, 0, 0, 0, 0, 0, 0, 17, 110
"d:\wamp\www\Supply\resources\views\components\text-input.blade.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\wamp\www\Supply\resources\views\components\vendeur-sidebar.blade.php", "PHP", 128, 0, 0, 0, 0, 0, 0, 0, 12, 140
"d:\wamp\www\Supply\resources\views\components\vendor-statistics.blade.php", "PHP", 266, 0, 0, 0, 0, 0, 0, 0, 24, 290
"d:\wamp\www\Supply\resources\views\emails\email-verification-code.blade.php", "PHP", 66, 0, 0, 0, 0, 0, 0, 0, 10, 76
"d:\wamp\www\Supply\resources\views\emails\new-vendor-registration.blade.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 0, 14, 43
"d:\wamp\www\Supply\resources\views\emails\vendor-approved.blade.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 0, 17, 48
"d:\wamp\www\Supply\resources\views\emails\vendor-rejected.blade.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 16, 43
"d:\wamp\www\Supply\resources\views\emails\welcome.blade.php", "PHP", 42, 0, 0, 0, 0, 0, 0, 0, 18, 60
"d:\wamp\www\Supply\resources\views\favoris\index.blade.php", "PHP", 188, 0, 0, 0, 0, 0, 0, 2, 21, 211
"d:\wamp\www\Supply\resources\views\layouts\admin-layout.blade.php", "PHP", 152, 0, 0, 0, 0, 0, 0, 2, 14, 168
"d:\wamp\www\Supply\resources\views\layouts\app.blade.php", "PHP", 348, 0, 0, 0, 0, 0, 0, 16, 49, 413
"d:\wamp\www\Supply\resources\views\layouts\client.blade.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\wamp\www\Supply\resources\views\layouts\guest.blade.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 5, 33
"d:\wamp\www\Supply\resources\views\layouts\navigation-client.blade.php", "PHP", 254, 0, 0, 0, 0, 0, 0, 5, 23, 282
"d:\wamp\www\Supply\resources\views\layouts\vendeur.blade.php", "PHP", 68, 0, 0, 0, 0, 0, 0, 0, 7, 75
"d:\wamp\www\Supply\resources\views\messages\conversation-enhanced.blade.php", "PHP", 221, 0, 0, 0, 0, 0, 0, 14, 28, 263
"d:\wamp\www\Supply\resources\views\messages\conversation.blade.php", "PHP", 293, 0, 0, 0, 0, 0, 0, 18, 33, 344
"d:\wamp\www\Supply\resources\views\messages\inbox.blade.php", "PHP", 159, 0, 0, 0, 0, 0, 0, 1, 13, 173
"d:\wamp\www\Supply\resources\views\panier\index.blade.php", "PHP", 181, 0, 0, 0, 0, 0, 0, 0, 16, 197
"d:\wamp\www\Supply\resources\views\partials\categories-section.blade.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 2, 29
"d:\wamp\www\Supply\resources\views\partials\cta-section.blade.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"d:\wamp\www\Supply\resources\views\partials\favoris-section.blade.php", "PHP", 148, 0, 0, 0, 0, 0, 0, 2, 17, 167
"d:\wamp\www\Supply\resources\views\partials\hero-section.blade.php", "PHP", 33, 0, 0, 0, 0, 0, 0, 0, 4, 37
"d:\wamp\www\Supply\resources\views\partials\produits-vedettes.blade.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 2, 20
"d:\wamp\www\Supply\resources\views\produits\catalogue.blade.php", "PHP", 107, 0, 0, 0, 0, 0, 0, 0, 10, 117
"d:\wamp\www\Supply\resources\views\produits\show.blade.php", "PHP", 595, 0, 0, 0, 0, 0, 0, 23, 59, 677
"d:\wamp\www\Supply\resources\views\vendeur\apercu.blade.php", "PHP", 280, 0, 0, 0, 0, 0, 0, 2, 25, 307
"d:\wamp\www\Supply\resources\views\vendeur\avis.blade.php", "PHP", 173, 0, 0, 0, 0, 0, 0, 0, 17, 190
"d:\wamp\www\Supply\resources\views\vendeur\commandes-detail.blade.php", "PHP", 207, 0, 0, 0, 0, 0, 0, 0, 18, 225
"d:\wamp\www\Supply\resources\views\vendeur\commandes\index.blade.php", "PHP", 121, 0, 0, 0, 0, 0, 0, 0, 7, 128
"d:\wamp\www\Supply\resources\views\vendeur\commandes\show.blade.php", "PHP", 255, 0, 0, 0, 0, 0, 0, 1, 23, 279
"d:\wamp\www\Supply\resources\views\vendeur\dashboard.blade.php", "PHP", 268, 0, 0, 0, 0, 0, 0, 0, 18, 286
"d:\wamp\www\Supply\resources\views\vendeur\layout-dashboard.blade.php", "PHP", 382, 0, 0, 0, 0, 0, 0, 24, 65, 471
"d:\wamp\www\Supply\resources\views\vendeur\messagerie\index.blade.php", "PHP", 83, 0, 0, 0, 0, 0, 0, 0, 8, 91
"d:\wamp\www\Supply\resources\views\vendeur\messages.blade.php", "PHP", 119, 0, 0, 0, 0, 0, 0, 0, 11, 130
"d:\wamp\www\Supply\resources\views\vendeur\messages\show.blade.php", "PHP", 205, 0, 0, 0, 0, 0, 0, 1, 12, 218
"d:\wamp\www\Supply\resources\views\vendeur\parametres.blade.php", "PHP", 161, 0, 0, 0, 0, 0, 0, 0, 21, 182
"d:\wamp\www\Supply\resources\views\vendeur\produits\create-edit.blade.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\wamp\www\Supply\resources\views\vendeur\produits\form.blade.php", "PHP", 267, 0, 0, 0, 0, 0, 0, 11, 38, 316
"d:\wamp\www\Supply\resources\views\vendeur\produits\index.blade.php", "PHP", 174, 0, 0, 0, 0, 0, 0, 0, 15, 189
"d:\wamp\www\Supply\resources\views\vendeur\profil.blade.php", "PHP", 267, 0, 0, 0, 0, 0, 0, 1, 33, 301
"d:\wamp\www\Supply\resources\views\vendeur\statistiques.blade.php", "PHP", 282, 0, 0, 0, 0, 0, 0, 5, 21, 308
"d:\wamp\www\Supply\resources\views\vendeur\stock.blade.php", "PHP", 81, 0, 0, 0, 0, 0, 0, 0, 5, 86
"d:\wamp\www\Supply\resources\views\vendeur\stock\alertes.blade.php", "PHP", 122, 0, 0, 0, 0, 0, 0, 0, 13, 135
"d:\wamp\www\Supply\resources\views\vendeur\stock\historique.blade.php", "PHP", 103, 0, 0, 0, 0, 0, 0, 0, 7, 110
"d:\wamp\www\Supply\resources\views\vendeur\stock\index.blade.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\wamp\www\Supply\resources\views\vendeur\stock\statistiques.blade.php", "PHP", 98, 0, 0, 0, 0, 0, 0, 0, 12, 110
"d:\wamp\www\Supply\routes\admin.php", "PHP", 96, 0, 0, 0, 0, 0, 0, 18, 13, 127
"d:\wamp\www\Supply\routes\api.php", "PHP", 33, 0, 0, 0, 0, 0, 0, 5, 7, 45
"d:\wamp\www\Supply\routes\auth.php", "PHP", 52, 0, 0, 0, 0, 0, 0, 2, 21, 75
"d:\wamp\www\Supply\routes\console.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\wamp\www\Supply\routes\web.php", "PHP", 116, 0, 0, 0, 0, 0, 0, 24, 30, 170
"d:\wamp\www\Supply\sync-products-images-v2.php", "PHP", 77, 0, 0, 0, 0, 0, 0, 10, 24, 111
"d:\wamp\www\Supply\sync-products-images.php", "PHP", 63, 0, 0, 0, 0, 0, 0, 12, 19, 94
"d:\wamp\www\Supply\tailwind.config.js", "JavaScript", 0, 0, 0, 0, 0, 73, 0, 2, 4, 79
"d:\wamp\www\Supply\tests\Feature\Auth\AuthenticationTest.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 0, 15, 55
"d:\wamp\www\Supply\tests\Feature\Auth\EmailVerificationTest.php", "PHP", 43, 0, 0, 0, 0, 0, 0, 0, 16, 59
"d:\wamp\www\Supply\tests\Feature\Auth\PasswordConfirmationTest.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 0, 13, 45
"d:\wamp\www\Supply\tests\Feature\Auth\PasswordResetTest.php", "PHP", 52, 0, 0, 0, 0, 0, 0, 0, 22, 74
"d:\wamp\www\Supply\tests\Feature\Auth\PasswordUpdateTest.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 0, 11, 52
"d:\wamp\www\Supply\tests\Feature\Auth\RegistrationTest.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 8, 32
"d:\wamp\www\Supply\tests\Feature\ExampleTest.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 4, 5, 20
"d:\wamp\www\Supply\tests\Feature\ProfileTest.php", "PHP", 76, 0, 0, 0, 0, 0, 0, 0, 24, 100
"d:\wamp\www\Supply\tests\TestCase.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 1, 4, 11
"d:\wamp\www\Supply\tests\Unit\ExampleTest.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 3, 4, 17
"d:\wamp\www\Supply\tests\api-integration-test.php", "PHP", 157, 0, 0, 0, 0, 0, 0, 15, 31, 203
"d:\wamp\www\Supply\vite.config.js", "JavaScript", 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
"d:\wamp\www\Supply\websocket-server.js", "JavaScript", 0, 0, 0, 0, 0, 136, 0, 15, 35, 186
"Total", "-", 29833, 13768, 3910, 35, 52, 553, 215, 2805, 5506, 56677
